conversacion_id,lead_id,modelo_interes,presupuesto_cuota,forma_pago,intencion,objecion_principal,pidio_cita,error_extraccion
CONV-00587,LD-01329,Bajaj Pulsar RS 200,,,baja,solo mirando precios y comparando con otra marca,False,
CONV-00030,LD-00122,AKT TTR 200,,,baja,,False,
CONV-00229,LD-00430,Honda Navi,como 1 palos,credito,media,¿No tienen usadas?,True,
CONV-00162,LD-00553,AKT Evo RS 150,"7,2 millones",contado,alta,,True,
CONV-00060,LD-00068,AKT Dynamic R3 125,0 millonzitos,credito,media,Estoy mirando también otra marca,True,
CONV-00292,LD-01409,Honda CB 190R,1000mil de inicial,credito,alta,precio / busca algo más económico,True,
CONV-00200,LD-01456,Hero Dash 110,6 millones,contado,alta,,True,
CONV-00018,LD-00273,Bajaj Dominar 400,,credito,media,Esa tasa está muy alta,True,
CONV-00502,LD-00681,Hero Eco Deluxe 100,"2,0 millones para la inicial",credito,alta,,True,
CONV-00210,LD-01394,Suzuki GN 125,No tengo inicial,,baja,No tiene cuota inicial,False,
CONV-00147,LD-00705,Bajaj Dominar 400,,,baja,Reportado en centrales de riesgo,False,
CONV-00328,LD-00075,Suzuki GN 125,como 0 palos,credito,alta,reporte viejo en centrales,True,
CONV-00517,LD-01407,Bajaj Dominar 400,,,baja,Me están ofreciendo otra por menos plata,False,
CONV-00143,LD-01297,,,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-3.5-flash\nPlease retry in 49.389030565s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-3.5-flash', 'location': 'global'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '49s'}]}}"
